19:24: [INFO]: Logfile was cleared
19:24: [INFO]: File NYL_FieldAgent_20210219.csv selected as most recent file
19:24: [INFO]: No agent phone number in row 1505
19:24: [INFO]: No agent phone number in row 1507
19:24: [INFO]: No agent phone number in row 1508
19:24: [INFO]: No agent phone number in row 1510
19:24: [INFO]: No agent phone number in row 1515
19:24: [INFO]: No agent phone number in row 1516
19:24: [INFO]: No agent phone number in row 1530
19:24: [INFO]: No agent phone number in row 1533
19:24: [INFO]: No agent phone number in row 1534
19:24: [INFO]: No agent phone number in row 1542
19:24: [INFO]: No agent phone number in row 1543
19:24: [INFO]: No agent phone number in row 1545
19:24: [INFO]: No agent phone number in row 1546
19:24: [INFO]: No agent phone number in row 1547
19:24: [INFO]: No agent phone number in row 1556
19:24: [INFO]: No agent phone number in row 1562
19:24: [INFO]: No agent phone number in row 1565
19:24: [INFO]: No agent phone number in row 1567
19:24: [INFO]: No agent phone number in row 1573
19:24: [INFO]: No agent phone number in row 1583
19:24: [INFO]: No agent phone number in row 1587
19:24: [INFO]: No agent phone number in row 1588
19:24: [INFO]: No agent phone number in row 1589
19:24: [INFO]: No agent phone number in row 1591
19:24: [INFO]: No agent phone number in row 1599
19:24: [INFO]: No agent phone number in row 1601
19:24: [INFO]: No agent phone number in row 1602
19:24: [INFO]: No agent phone number in row 1604
19:24: [INFO]: No agent phone number in row 1606
19:24: [INFO]: No agent phone number in row 1607
19:24: [INFO]: No agent phone number in row 1609
19:24: [INFO]: No agent phone number in row 1611
19:24: [INFO]: No agent phone number in row 1612
19:24: [INFO]: No agent phone number in row 1614
19:24: [INFO]: No agent phone number in row 1616
19:24: [INFO]: No agent phone number in row 1618
19:24: [INFO]: No agent phone number in row 1620
19:24: [INFO]: No agent phone number in row 1622
19:24: [INFO]: No agent phone number in row 1624
19:24: [INFO]: No agent phone number in row 1627
19:24: [INFO]: No agent phone number in row 1631
19:24: [INFO]: No agent phone number in row 1635
19:24: [INFO]: No agent phone number in row 1640
19:24: [INFO]: No agent phone number in row 1647
19:24: [INFO]: No agent phone number in row 1649
19:24: [INFO]: No agent phone number in row 1650
19:24: [INFO]: No agent phone number in row 1651
19:24: [INFO]: No agent phone number in row 1656
19:24: [INFO]: No agent phone number in row 1657
19:24: [INFO]: No agent phone number in row 1659
19:24: [INFO]: No agent phone number in row 1663
19:24: [INFO]: No agent phone number in row 1685
19:24: [INFO]: No agent phone number in row 1694
19:24: [INFO]: No agent phone number in row 1695
19:24: [INFO]: No agent phone number in row 1701
19:24: [INFO]: No agent phone number in row 1704
19:24: [INFO]: No agent phone number in row 1706
19:24: [INFO]: No agent phone number in row 1708
19:24: [INFO]: No agent phone number in row 1710
19:24: [INFO]: No agent phone number in row 1712
19:24: [INFO]: No agent phone number in row 1715
19:24: [INFO]: No agent phone number in row 1720
19:24: [INFO]: No agent phone number in row 1721
19:24: [INFO]: No agent phone number in row 1724
19:24: [INFO]: No agent phone number in row 1726
19:24: [INFO]: No agent phone number in row 1732
19:24: [INFO]: No agent phone number in row 1735
19:24: [INFO]: No agent phone number in row 1737
19:24: [INFO]: No agent phone number in row 1740
19:24: [INFO]: No agent phone number in row 1746
19:24: [INFO]: No agent phone number in row 1749
19:24: [INFO]: No agent phone number in row 1754
19:24: [INFO]: No agent phone number in row 1755
19:24: [INFO]: No agent phone number in row 1757
19:24: [INFO]: No agent phone number in row 1764
19:24: [INFO]: No agent phone number in row 1769
19:24: [INFO]: No agent phone number in row 1771
19:24: [INFO]: No agent phone number in row 1773
19:24: [INFO]: No agent phone number in row 1775
19:24: [INFO]: No agent phone number in row 1776
19:24: [INFO]: No agent phone number in row 1778
19:24: [INFO]: No agent phone number in row 1779
19:24: [INFO]: No agent phone number in row 1781
19:24: [INFO]: No agent phone number in row 1784
19:24: [INFO]: No agent phone number in row 1791
19:24: [INFO]: No agent phone number in row 1793
19:24: [INFO]: No agent phone number in row 1794
19:24: [INFO]: No agent phone number in row 1796
19:24: [INFO]: No agent phone number in row 1797
19:24: [INFO]: No agent phone number in row 1798
19:24: [INFO]: No agent phone number in row 1803
19:24: [INFO]: No agent phone number in row 1805
19:24: [INFO]: No agent phone number in row 1807
19:24: [INFO]: No agent phone number in row 1810
19:24: [INFO]: No agent phone number in row 1813
19:24: [INFO]: No agent phone number in row 1816
19:24: [INFO]: No agent phone number in row 1817
19:24: [INFO]: No agent phone number in row 1821
19:24: [INFO]: No agent phone number in row 1825
19:24: [INFO]: No agent phone number in row 1826
19:24: [INFO]: No agent phone number in row 1829
19:24: [INFO]: No agent phone number in row 1830
19:24: [INFO]: No agent phone number in row 1831
19:24: [INFO]: No agent phone number in row 1834
19:24: [INFO]: No agent phone number in row 1836
19:24: [INFO]: No agent phone number in row 1837
19:24: [INFO]: No agent phone number in row 1838
19:24: [INFO]: No agent phone number in row 1839
19:24: [INFO]: No agent phone number in row 1842
19:24: [INFO]: No agent phone number in row 1846
19:24: [INFO]: No agent phone number in row 1847
19:24: [INFO]: No agent phone number in row 1849
19:24: [INFO]: No agent phone number in row 1850
19:24: [INFO]: No agent phone number in row 1851
19:24: [INFO]: No agent phone number in row 1852
19:24: [INFO]: No agent phone number in row 1854
19:24: [INFO]: No agent phone number in row 1855
19:24: [INFO]: No agent phone number in row 1856
19:24: [INFO]: No agent phone number in row 1858
19:24: [INFO]: No agent phone number in row 1860
19:24: [INFO]: No agent phone number in row 1861
19:24: [INFO]: No agent phone number in row 1862
19:24: [INFO]: No agent phone number in row 1864
19:24: [INFO]: No agent phone number in row 2029
19:24: [INFO]: File finished processing
